	Unnamed: 0	sentence	sentiment	translation
0	0	hoo mammokka police vesham aaha anthas	positive	hoo mammokka police vesham aaha anthas
1	1	Oru rekshayum illa...kidilam kannu nananjupoyi	positive	Oru rekshayum illa...kidilam kannu nananjupoyi
2	2	Ikka     waiting.........	positive	Ikka waiting.........
3	3	Raju Ettante Oro Shorttum Ijathi ppwli	positive	Raju Ettante Oro Shorttum Ijathi ppwli
4	4	Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	positive	Ettan fansil netti poya aarenkilum undo? #maduraraja#waiting#
5	5	Last aa chadi adi.... Uff.        Frm an ettan fan	positive	Last aa chadi adi.... Uff. Frm an ettan fan
6	6	heavy mass	positive	heavy mass
7	7	Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	neutral	Pulimurugan 2 adyam oralde thallu. Pinne same kattil ottakulla adi.
8	8	Nte ponno oru raksha Illa Ennaaa Trailer	positive	Nte ponno oru raksha Illa Ennaaa Trailer
9	9	Mammookka fans like adi. Love u ikka	positive	Mammootty fans like i. Love u ikka
10	10	Oh mass o mass laletta katta waiting....Bgm	positive	Oh mass o mass laletta katta waiting....Bgm
11	11	Ith powlichu vaariyitte pooku....	positive	Ith powlichu vaariyitte pooku....
12	12	7.3k dislike adichavanmaarod onne parayanollu......  OMKV	negative	7.3k dislike adichavanmaarod onne parayanollu...... OMKV
13	13	June 16 Keralakara ilakki marikkum ikka	positive	June 16 Keralakara ilakki marikkum ikka
14	14	Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	neutral	Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni
15	15	Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	positive	Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa
16	16	vaada a otta vili athu mathi .athu maathram mathi	positive	vaada a otta vili athu mathi .athu maathram mathi
17	17	#mamangam uff ijjathi trailer oru rakshem illa poli	positive	#mamangam uff ijjathi trailer oru rakshem illa poli
18	18	Nalla polippan school life kanam katta waiting for you Mammukka	positive	Nalla polippan school life kanam katta waiting for you Mammukka
19	19	Feeling sad am studying in punjab ivde release aakuvo	negative	Feeling sad am studying in punjab ivde release aakuvo
20	20	Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	neutral	Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne
21	21	INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	positive	INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer
22	22	Eee eid ikka ang edutthu ennu paranjekk	positive	Eee eid ikka ang edutthu ennu paranjekk
23	23	Ahaa hahaha ha.... Nte ponnikkka mutheeee	positive	Ahaa hahaha ha.... Nte ponnikkka mutheeeee
24	24	Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	positive	Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....
25	25	Ithin dislike addikunavar lokka tholvikallayirkkum	positive	Ithin dislike addikunavar lokka tholvikallayirkkum
26	26	FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	positive	FDFS LOCKED LALETTAN RAJUETTAN uff ejathi
27	27	Feel good movie 2019 le best movie aavum ithu urappu	positive	Feel good movie 2019 le best movie aavum ithu urappu
28	28	1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	negative	1k dislikes Ella dislike pannikalkum endhe naduviral namskaram
29	29	2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	positive	2 million... One day poolumaayillaaaa. Iragittt.. Great laletta
30	30	Eante ponnooo romanjam vannu poeonnum parayanilla	positive	Ente ponnu romanjam vannu poyi onnum parayanilla
31	31	Eth oru onnonnara padam aavum enn urappullavar like adi	positive	Eth oru onnonnara padam aavum enn urappullavar like adi
32	32	Surajettan kunjunni mash ayi abhinayichal powlikku.m	positive	Surajettan kunjunni mash ayi abhinayichal powlikku.m
33	33	Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	positive	Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta
34	34	Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	positive	Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.
35	35	Lalettan fans full support und makkaleee......	positive	Lalettan fans full support und makkaleee......
36	36	Adhikam hype venda	negative	Adhikam hype venda
37	37	Ithu kidukkum	positive	Ithu kidukkum
