"id","text","prediction","annotation","metadata","score","batch_id"
0,"Dis like itha trailer ku enna koduma ....🤒","Negative","Negative","","",0.0
1,"Namma thala ajith avarukku like poduga","Positive","Positive","","",0.0
2,"52 sec la pathavanga like podunga","Positive","Neutral","","",0.0
3,"81k views but 93k likes how it is possible?🤗","Positive","Neutral","","",0.0
4,"Dei intha soori innum intha comedyellam vidalayaada","Positive","Negative","","",0.0
5,"Worst movie in vikram sir list i ever seen","Negative","Negative","","",0.0
6,"yaru da evan entha old age mudditu irrukama over pannitu irrukan🤣🤣","Neutral","Negative","","",0.0
7,"Who is getting goosebumps like a #Vadachennai #Asuran #kolaMasu","Positive","Positive","","",0.0
8,"Super unglalku inu yavs avle sir","Neutral","Neutral","","",0.0
9,"varanam massu varanam aadhuku thala dhan screen la varanam","Neutral","Positive","","",0.0
10,"Velayutham movie feeling vandhavanga like podunga","Positive","Positive","","",1.0
11,"Waiting  to seeeeeeeeee Anna mass","Neutral","Neutral","","",1.0
12,"Dei.....Vj sethupathy ku ena da promotion ae ila...Vedha alavuku  kooda mass ilayae da","Negative","Negative","","",1.0
13,"Yanna da like appadiya nikithu 🤔1M varuma varatha","Neutral","Neutral","","",1.0
14,"I am from telangana i like Vijay Sethupathi soo much","Positive","Positive","","",1.0
15,"Sri devi saruku potututu poita appra yethuku avala peryaa alaa katuringaa from heart of thala fan","Negative","Neutral","","",1.0
16,"Wednesday kula 70k cmt varanum 800k likes varanum....   Thala fans...","Neutral","Positive","","",1.0
17,"Kollywood Nahi ... Hollywood bolo ... Vera level Shankar sir .... Thalaivaaaaaaaaaaaa ... But akkis voice sounds awkward ....","Positive","Positive","","",1.0
18,"Antha ponndatti Kozhantha Kutti Sendiment dialogue yaarayo kurippittu solra maari irukku","Neutral","Neutral","","",1.0
19,"Rajinikanth vera level wating to watching","Positive","Positive","","",1.0
20,"Vijay fans eppovum pola avanga velaya kaaturanga.. Thu porama pudichavanga","Negative","Negative","","",2.0
21,"Sivakarthikeyan en inum velaikkaran movie la pesna mariye pesringa","Neutral","Positive","","",2.0
22,"Sanda potu jeinga thaniya jeigathinga ... VJ sir","Neutral","Neutral","","",2.0
23,"Mercury padam set mari iruku entry","Neutral","Neutral","","",2.0
24,"Ennam silla Nimidangalil big boss losliya promo first varum","Neutral","Neutral","","",2.0
25,"Surya and ajith I like most","Positive","Positive","","",2.0
26,"Oru superstar ippadi oru nalla padam nadichi ippo dhaan paakuraen","Positive","Positive","","",2.0
27,"Youtube pakkam vantha intha trailer oru time paathuttu poirathu","Neutral","Neutral","","",2.0
28,"Vijay Anna fans hit like here","Positive","Positive","","",2.0
29,"Rajini Mass Vijay sethupathi fans like poduga","Positive","Positive","","",2.0
30,"pongal ku  petta dhan paraak,,, waiting","Positive","Positive","","",3.0
31,"Na Vijay fan but thala thappa edhum peasala and sollala y dislike pandringa","Negative","Neutral","","",3.0
32,"Climax dialog vera level ellam fans kum porunthum","Positive","Positive","","",3.0
33,"UNAKENNAPA KUTTY MOONJI FANS #HITS LIKE🤷‍","Positive","Positive","","",3.0
34,"7hrs munnadiye 11M views vanthuttu ippavum 11M views kattuthu you tube karan yethum sathi panraano?","Neutral","Negative","","",3.0
35,"102k views 152k likes vera level","Positive","Positive","","",3.0
36,"200K Likes Needed for 1M Likes","Neutral","Neutral","","",3.0
37,"Vera level   Dhanush fans like here","Positive","Positive","","",3.0
38,"Ippdi naray naraya naraya intha speech semma masssssss thala neega","Positive","Positive","","",3.0
39,"Logic fails Nambura mathiri poi sollu da sangaru","Negative","Negative","","",3.0
40,"Wowwww!... Vera level thalaaaaaaaaaaaa lovely goosebumps conformed","Positive","Positive","","",4.0
41,"Remake   Off Pink Amitabh Jiii... #Tapsee","Neutral","Neutral","","",4.0
42,"Sethupathikku aduthu sema action block irukku","Positive","Positive","","",4.0
43,"Jersy heorin I like her","Positive","Positive","","",4.0
44,"O:12sec lifestyle logo in tamil..See  in hindi trailer no logo..","Neutral","Neutral","","",4.0
45,"Thaliva ungaluku age agathu amazing style samrat","Positive","Positive","","",4.0
46,"Like potutu tha video papen... Vetri + dhanush = Blockbuster","Positive","Positive","","",4.0
47,"Deii...deii..neega ella yanda thalapathy oda potti ku varinga....oru records kuda thodamudiyathu","Neutral","Negative","","",4.0
48,"Each and every framemum ks Rajini sirku kosaram nalla eduhurukaru he just sculpted each frame","Positive","Positive","","",4.0
49,"Thalaivar Yepovum unique mass...","Positive","Positive","","",4.0
