	sentence	sentiment
0	hoo mammokka police vesham aaha anthas	positive
1	Oru rekshayum illa...kidilam kannu nananjupoyi	positive
2	Ikka     waiting.........	positive
3	Raju Ettante Oro Shorttum Ijathi ppwli	positive
4	Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	positive
5	Last aa chadi adi.... Uff.        Frm an ettan fan	positive
6	heavy mass	positive
7	Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	neutral
8	Nte ponno oru raksha Illa Ennaaa Trailer	positive
9	Mammookka fans like adi. Love u ikka	positive
10	Oh mass o mass laletta katta waiting....Bgm	positive
11	Ith powlichu vaariyitte pooku....	positive
12	7.3k dislike adichavanmaarod onne parayanollu......  OMKV	negative
13	June 16 Keralakara ilakki marikkum ikka	positive
14	Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	neutral
15	Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	positive
16	vaada a otta vili athu mathi .athu maathram mathi	positive
17	#mamangam uff ijjathi trailer oru rakshem illa poli	positive
18	Nalla polippan school life kanam katta waiting for you Mammukka	positive
19	Feeling sad am studying in punjab ivde release aakuvo	negative
20	Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	neutral
21	INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	positive
22	Eee eid ikka ang edutthu ennu paranjekk	positive
23	Ahaa hahaha ha.... Nte ponnikkka mutheeee	positive
24	Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	positive
25	Ithin dislike addikunavar lokka tholvikallayirkkum	positive
26	FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	positive
27	Feel good movie 2019 le best movie aavum ithu urappu	positive
28	1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	negative
29	2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	positive
30	Eante ponnooo romanjam vannu poeonnum parayanilla	positive
31	Eth oru onnonnara padam aavum enn urappullavar like adi	positive
32	Surajettan kunjunni mash ayi abhinayichal powlikku.m	positive
33	Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	positive
34	Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	positive
35	Lalettan fans full support und makkaleee......	positive
36	Adhikam hype venda	negative
37	Ithu kidukkum	positive
38	Padam 1 st day kaanum athu urappu.	positive
39	masss effect	positive
40	Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power	positive
41	Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	positive
42	Costumes Irshad khan Cherukunnuijj Poli mutheeee	positive
43	Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	neutral
44	aaa last bhakam marana mass #mammookka	positive
45	Big B 2 pole und	neutral
46	LALETTAAA MUTHEE POLICHU	positive
47	Edhu kondu prethiraj neruthiyal Kollam	positive
48	Mammotiyude look divasam kudunthorum kodi varikayannallo	positive
49	Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	negative
50	malayala sinimakkoru puthiya charithram pirakkatte !	positive
51	Koora padam	negative
52	Ennalum ente Idivettu suguna ninne ithilu kandillalo	negative
53	Oru  mikacha thriling movie aavum	positive
54	Undakku shesham mammookayude adutha natural movie	positive
55	Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	positive
56	Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	positive
57	Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	positive
58	Trailer I'll tannaayy full story uondu	positive
59	Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	positive
60	Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam	positive
61	Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu	positive
62	Annum ennum ennum ikka mass 🤩🥰	positive
63	vere level trailer and bgm gopi sunder musical	positive
64	Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha	neutral
65	E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..	positive
66	Jelli kettinte trailer bgm pole ind	positive
67	E traileril ntha chekutan undo	positive
68	kalakki Kalakki. Onnum parayan illa	positive
69	Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.	positive
70	Vere level of making nd lalettan was awesome	positive
71	Next Week china povan irikkana njan ithu kandeche njan povathullu	positive
72	peter hein nte stunt ella cinema il um ore pattern aanallo	neutral
73	Ohoo mamooka powlikum ee jati tralier making kiduwee	positive
74	Onnum parayanilla. Vere leval movie ayirikkum	positive
75	Raju ettaaaa ningal Vera level	positive
76	Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ	positive
77	Late aayi vannalum latest aayi varuvenne	positive
78	Lokal poyi Madhura raja teaser kanada	negative
79	Oru marana mass chitramaavatte laleeta lucifer	positive
80	Kuru potti olikknna 1k poojappura fans🤣🤣🤣	negative
81	adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	positive
82	Mohanlal prithvi fans like adik lucifer bamber hit akum	positive
83	Jayasurya mass after long time.podi pooram	positive
84	Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu	positive
85	Kure per dislike adich kuru pottikkunnund	negative
86	Dislike adechath alla punnara makkalum anta veral നമസ്കാരം	negative
87	Fight dialoge bgm oru rakshayum illa	positive
88	Ithu rajayude 3 strong Alla ettande Lucifer	neutral
89	E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu	positive
90	Samyuktha vendayirunnu. :(  Aishu pwoli ann	negative
91	Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	negative
92	Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	negative
93	JAI LUCIFER JAI LALETTAN JAI PRITHWI	positive
94	Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck	positive
95	Bro support koduthilenkilum dislike adikkathirunoode .	negative
96	Suraj ettan fans fans like ivide	positive
97	Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa	positive
98	E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰	positive
99	ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	negative
100	Ith oru onnonnara item aayrikkum	positive
101	Njan mammoty fan Ann pakshe enikk ishtapettu	positive
102	Pirates of carbien aarum kanditilananu mone ninte vicharam	negative
103	Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli	positive
104	Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	positive
105	im a katta lalettan fan....but ithu hit aaakanam..heavy	positive
106	Katta vishayam oru rekshem illa etta fdfs	positive
107	Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...	negative
108	Oru dubbing padathinte trailer pole.  kidu	positive
109	Myarakam ikka  Hollywood direction and visuals	positive
110	Ini kando... Adiude Ideude Vedi pooram......🧨🧨	positive
111	Aa kannukal mathram mathi a character depth mansilkan laletta.....	positive
112	Trailer Oru rakshyum illa adi poli jayettan takarkkum	positive
113	Ee Padam Kolamavukayaanengil it will be because of Peter hein	negative
114	Movide peru kandu dislike adikaan vannatha	positive
115	Avalude name veykkunille avar lead cheyyunna film alle..	negative
116	Kidu bgm for ikka kidu movie super	positive
117	MAMMOOKKAAA....  NIGHAL MUTHAANU....Nighal kola maassalla...  kolaveri maasaanu.....	positive
118	Deleep atta padam orappu maga hit	positive
119	ee padam 8 nilayil podannamennju prarthikunnju	negative
120	Ikka i lv uuuuu big screen kandolan waitinggggg	positive
121	trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu	neutral
122	Ayye poraaa.... lalettan nu role ille??	negative
123	Vineethangil adu supero super chodikanundo allea vineetheaaa	positive
124	Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka	positive
