"id","text","prediction","annotation","metadata","score","batch_id"
0,"Waiting for your review guys all the best guys","Positive","Neutral","","",0.0
1,"Celebrities ikkada help cheyandi ani adige badulu Govt ni direct ga question cheyochu gaa normal days lo thega leputharu siggu lekundaa .","Neutral","Negative","","",0.0
2,"Expecting more big review for sury u guys are always the best","Positive","Positive","","",0.0
3,"@soro1109 @Chilla_BW Ga ke morwalo , gaa o kake wa nkgona . 😂 😂 😂","Positive","Neutral","","",0.0
4,"@pawan_fann @AryaVj_ @ncbn Inka kcr sankaa nakand vademo aa jagan gadiki support chestadu , miremo pichi puk lu avtunaru","Negative","Negative","","",0.0
5,"Ah 4 Fans Ey Veela hero chetta i like powerstar anipinchar gaa 😬","Positive","Negative","","",0.0
6,"@AnjiyyaP siggundaali mee bemaravati bollibatch ki . 13 jillaala prajala kastanni dochukuni kula rajadhani kattukuntaam andaniki sigguledha ? ? oppn ldr vasthey pasupu neellu jallina daridrulu ki ipudu neethulu gurthochyaa ? mosam chesina bollodini vadilesi rajakeeya dramaalento siggulekunda ?","Neutral","Negative","","",0.0
7,"@TeamRockTwood Deyy vaadu pilla puk gadhuu fake posters eskochadu cheap ninja gaddu Vaallu official lonche chaep esalu esaru 🤮 🤮 🤮","Negative","Negative","","",0.0
8,"@VSReddy_MP @ncbn Vallu adi chesaru idi chesaru antaru , dongalu ki adikarm vachidni donga case Lu pedtunaru ruling cheydam cheta kaadu , real gaa scam chesinatu aite me A1 A2 idaru vadilestara ? Health system destroy ainda meeru manava jaathine nasanam chestunaru adi enti mari","Negative","Negative","","",0.0
9,"@TheMystic007 @Kiran_reddy7777 @CostlyScotch @Bittuu_rai Kani vallu mana daniloki raru anna 😂 😂 Same pawala gallu kuda ilane petaru mana vallu velli matladaru next day mana vallu petti valani ramante work undii bochuuu unndhi ani okadu kuda rala 😂 😂 😂 Eantha sepu sontha space sontha dabba kotukuntaru anthe tdp , jsp vallu","Positive","Neutral","","",0.0
10,"@Allu_Bhai_ @ChennaiIPL Inni gelichina vadu overseas lo test series lu minginchadu , malli villu guvvaki siggu lekundaa matladuthunnaru","Negative","Negative","","",1.0
11,"Voice change indi Kada prendss","Neutral","Neutral","","",1.0
12,"Mahesh drop ayyi manchii pani chesadu e movie ni Bunny kuda set avvale ( imo ) natural ga ledu asala 🙏🏻","Positive","Positive","","",1.0
13,"Christ opher nolan fans like here","Neutral","Positive","","",1.0
14,"@Cherry694070481 Lol niceone dorikesaka ilantive vastai le bayatiki 🤣 🤣 Am matladtunano Ardm kakunde reply ichaav anti raa mabbu lk gaa Aynaa Dookudu IH poster BM ATR poster abbo chalane esadu mabuu gadu Ivi Anni waste avveralu Dhammu vunte malla competition rammanu Mabbu gadni chuskundham 👍🏻","Positive","Positive","","",1.0
15,"Anna IIT Krishnamurthy movie review","Neutral","Neutral","","",1.0
16,"Malle e sulligallu English MOVIES ithe super duper ani chepputhadu","Positive","Positive","","",1.0
17,"@Rukhmini Srinivasan no bro ayina cheppindi true ey doubt untey okasaari master and krack chudu nikey clearity vasthadhi","Neutral","Neutral","","",1.0
18,"@naruto_pspk @bobby_yedida @PSPKcult_Fan @PawanKalyan Memu ento chupistam ela gelustado chustam anta eh gaadidha gaadu .. rajamundry lo vagindi .. kadhu ani cheppamanu .. nenu video pedta","Neutral","Negative","","",1.0
19,"@varunmbfan @BheeshmaTalks Hit tistene ok cheppe mabbuu pukodu ki elevation antra ... Puri ne chepadu mabbuu gaadu hit vunna dirs ke chance istad ani","Negative","Neutral","","",1.0
20,"@PulseTelangana Chetha na koduku KCR .. while ppl are dying .. he is least bothered to build a single new hospital in state .. no new ambulances added .. no improvement of medical infrastructure in existing hospitals .. no addition of Covid to Arogyasri .. veedu CM ga em peekutunadu asalu ... idiotic fellow ! !","Negative","Negative","","",2.0
21,"@thondankani me Role chaala bagundhi sir @varusarath5 me Performance Exllent Madam krack movie chaala bagndhi #Sankranthi #BlockbusterKrack 2021","Positive","Positive","","",2.0
