"id","text","prediction","annotation","metadata","score","batch_id"
0,"Entemmachi ..enna oru trailer... shanker ramakrishanan  ellamkondum kidilan...wow....","Positive","Positive","","",0.0
1,"ithipo kathiruna film othhu varunnod ariyla tension und.ettateum ilayathalapathiudeum padagal othhu randum high akanam atreulu.","Negative","Negative","","",0.0
2,"Anu sitharayude dialogue oru dheerha vanithayudethanu.. Athu parayendathu sangadapettalla","Negative","Positive","","",0.0
3,"Luciferum ayite kurachu samyamille ee trailerinnu","Neutral","Neutral","","",0.0
4,"Oru kidillan thriller movie ennu urappichu...  katta waiting Kalkki","Positive","Positive","","",0.0
5,"Mammooka ninghal mass aa pwoli item","Positive","Positive","","",0.0
6,"7 minute kond 8.3 k view🤩","Positive","Positive","","",0.0
7,"Malayalathinte mahanadan #Suriyafansinte ashamsakal🤝 Trailer looks massy!","Positive","Positive","","",0.0
8,"ikka fans kandit like adichit poyi","Negative","Neutral","","",0.0
9,"Ikkayude aaa varavu kandittu box office theernnanna thonnunne","Negative","Positive","","",0.0
10,"Nalla trailer thann njangale patichule  vendayirunnu moshamayi ikka fansine tholpichu","Positive","Negative","","",1.0
11,"Ithu ikkayude script aanu..   Uttopiya","Neutral","Neutral","","",1.0
12,"Pulimuruga 2.0 ethakka panda lalettan vittathaaaa... Ellanne parayan pattuooo...","Neutral","Neutral","","",1.0
13,"trailer  marana  mass  mammoka  magastar","Positive","Positive","","",1.0
14,"Malayalathill edhuvare egane oru trailer kandittilla","Neutral","Positive","","",1.0
15,"Avasanathe idi veendum veendum kandavar ethra und","Neutral","Neutral","","",1.0
16,"Mammokkayude madurarajakku shesham  adutha super hit","Positive","Positive","","",1.0
17,"Adipoli ikka... Kolakolliaittam nnparanjappo ethrapradeekshichilla sooooper","Positive","Positive","","",1.0
18,"Ella new gen nadan maarum ananju...eth saubin ugam 🥰","Positive","Positive","","",1.0
19,"Poojappura laalunni fans dislike adichu kuru potichitund","Negative","Negative","","",1.0
20,"Trailer bgm oru rakshayilla. Movie bgm kattakkayirikkum","Neutral","Negative","","",2.0
21,"Nalla poli cinema maaas..padam mammookka polichadukki","Positive","Positive","","",2.0
22,"Trailer kandappo thannea cinema kannan thonni.katta waiting","Negative","Positive","","",2.0
23,"Jimitt fans jimittinte theettam thinnaan nokk myrukale","Neutral","Negative","","",2.0
24,"Mamukka ottiri ishttamm ethe polikkumm","Positive","Positive","","",2.0
25,"Haters dislike ... Paavo ithrakkum pediyaano oru padavam verunne... Kaishttam haters🤣","Negative","Positive","","",2.0
26,"Deivame ith 2 manikkooril nilkkooo.Aarekooyaanithil.ho myaaarakam.Lalettan kiiiiii.🤠","Positive","Positive","","",2.0
27,"Arjun reddy","Neutral","Neutral","","",2.0
28,"Waiting  3pravashyam  kanum  releaseday","Neutral","Neutral","","",2.0
29,"Trailer kanda thanne Aliyan Ettunilayil pottumennu","Neutral","Neutral","","",2.0
30,"cr nokathe film nokunnavark vendii oru filmmm ayirikyum eth","Neutral","Neutral","","",3.0
31,"Ee sound aanu marakkarde enkil marakkare apamanikkan edukkunna padam aayirikkum. Dress codellam apamanikkunna tharathila","Negative","Negative","","",3.0
32,"Poliiii super luv it.  ......","Positive","Positive","","",3.0
33,"Ithiloke vannu dislike adikunnavane okke namikanam","Negative","Negative","","",3.0
34,"njan ikka fan aaan!  lalettante oru nalla thirichu varav pratheekshikunnu......rajuvettan direction super aayittund!","Positive","Positive","","",3.0
35,"Ennum ee trailer kandavarr undo. Katta waiting","Positive","Positive","","",3.0
36,"Adutha kodaali padam looks like master piece 2.0","Positive","Positive","","",3.0
37,"Poli poli polichu mass mass mass maranamass","Positive","Positive","","",3.0
38,"Kandu....nalla movie....Suraj oru rekshayumilla.....jeevich kanichu.... award urappa....nalla movie....comedy + love + Sad.....kunjappan Pwoliya.....","Positive","Positive","","",3.0
39,"Ithu pokkiri raja 2 aano atho pulimurugan 2 aanoenthayalum massAll the Best Ikka and team","Positive","Positive","","",3.0
40,"Ee shareeramulla manushyanevech ee padam cheydh kulamakarudh plees","Neutral","Negative","","",4.0
41,"Oru rakshyum ellaa bgm hats off gopi sundar chettaaa","Positive","Positive","","",4.0
42,"Padam kanda shesham trailer kandathukondu oru aaswasam.","Positive","Positive","","",4.0
43,"Onnum.. Parayaan.. Illaa... Leavl... Levalll...","Neutral","Neutral","","",4.0
44,"Ithum koodi kooty  ente 905 aam view","Neutral","Neutral","","",4.0
45,"Taken Enna movie pole aavum enn thonnunnu","Neutral","Neutral","","",4.0
46,"Ithokke like adichillel","Neutral","Neutral","","",4.0
47,"Nalla rasam ubdae","Positive","Neutral","","",4.0
48,"Ee Vishnu  Stephan nedumpally kondupokum athinu oru samashavum Venda","Neutral","Neutral","","",4.0
49,"Tamil fans like here !!!!","Positive","Positive","","",4.0
