	Unnamed: 0	sentence	sentiment	transliteration	translation
0	0	hoo mammokka police vesham aaha anthas	positive	ഹോ മമോക്കാ പോലീസ് വേഷമ ആഹാ അംതസ	Ho mamoka police disguise aha amtasa
1	1	Oru rekshayum illa...kidilam kannu nananjupoyi	positive	ഓരു രേക്ഷയുംമ ഇല്ലാകിദിലമ കന്നും നാനംജുപോയി	Oru Rekshayumma Illakidilama Kannum Nanamjupoi
2	2	Ikka     waiting.........	positive	ഇക്കാ     വൈറ്റിങ്	Ika Whiting
3	3	Raju Ettante Oro Shorttum Ijathi ppwli	positive	രാജു ഏട്ടാന്തേ ഓരോ ശോര്ത്തമ ഇജാഥീ പ്പ്വ്ലീ	Raju etante every shortma ijathi pvlee
4	4	Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	positive	ഏത്തന ഫംസില നേത്തി പോയാ ആരേന്കീലുമ ഉന്ഡോ    മദുരരജവൈറ്റിങ് 	Arenkiluma Undo Madurarajawaiting
5	5	Last aa chadi adi.... Uff.        Frm an ettan fan	positive	ലാസ്റ്റ് ആ ചാദീ ആദി ഉഫ്ഫ        ഫ്ര്മ ആന ഏത്തന ഫന	Last aa chadee adi uffa frma ana ettana fana
6	6	heavy mass	positive	ഹേവ്യ മാസ	Hevya month
7	7	Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	neutral	പുലിമുര്ഗന 2 ആദ്യമ ഓരാല്ഡ് തല്ലു പിന്നേ സമേ കത്തില ഒട്ടാക്കുല്ലാ ആദി	Pulimurgana 2 first hit Orald and then it was released in the assembly.
8	8	Nte ponno oru raksha Illa Ennaaa Trailer	positive	നീം പോനനോ ഓരു രക്ഷാ ഇല്ലാ എന്നാ ട്രേല്ര്	Neem Ponano Oru Raksha Illa trailer
9	9	Mammookka fans like adi. Love u ikka	positive	മമൂക്കാ ഫംസ ലീകേ ആദി ലവ ഉ ഇക്കാ	Mamooka phamsa leake adi lava u ika
10	10	Oh mass o mass laletta katta waiting....Bgm	positive	ഓ മാസ ഒ മാസ ലാലെട്ടാ കട്ടാ വൈറ്റിങ്ബമ	O Masa O Masa Laletta Katta Whitingbama
11	11	Ith powlichu vaariyitte pooku....	positive	ഇത പോവ്ലീചു വാരിയിറ്റ് പൂകു	This povlichu variit puku
12	12	7.3k dislike adichavanmaarod onne parayanollu......  OMKV	negative	73ക ഡിസ്ലീകേ ആദിചവന്മാരോദ ഓന്നേ പരായനോല്ലു  ഓമക്വ	73ka disleeke adichavanyoroda onne parayanollu omakwa
13	13	June 16 Keralakara ilakki marikkum ikka	positive	ജൂണ് 16 കേരളകര ഈലാക്കീ മാരീക്കുംമ ഇക്കാ	June 16 Keralakara Elaki Marikumma Ika
14	14	Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	neutral	പദമ കാണ്ഡു കൊലാം പക്ഷേ ചിലാ ഇദാംഗലില ലഗ ഉണ്ട് എന്നു ഏനീകു ഥോനീ	Padma Kandu Kolam but there is Chila Idangalila Laga
15	15	Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	positive	ഇക്കാ ഡി കാര്റ്റര് ഹിത ആവമ മാമാംനകമ എന്നഥീല ഓരു സമ്സ്യാവുംമ വ്ന്ദാ	Ika de Carter hita avama mamamannakama nnathila oru samsyavumma vanda
16	16	vaada a otta vili athu mathi .athu maathram mathi	positive	വാദാ ആ ഓട്ടാ വിലീ അതു മഥീ അതു മാഥ്രാമ മഥീ	Vada aa otta vili it mathee it mathrama mathee
17	17	#mamangam uff ijjathi trailer oru rakshem illa poli	positive	മമംഗമ ഉഫ്ഫ ഇജ്ജാഥീ ട്രേല്ര് ഓരു രക്ഷേമ ഇല്ലാ പോളി	Mamangama Uffa Ijjathi Trailer Oru Rakshema Illa Poli
18	18	Nalla polippan school life kanam katta waiting for you Mammukka	positive	നല്ലാ പോലിപ്പന സ്കൂല് ലീഫ് കനാമ കട്ടാ വൈറ്റിങ് ഫര യൂ മമ്മുക്കാ	Nalla polipana school leaf kanama kata whiting fara u mammuka
19	19	Feeling sad am studying in punjab ivde release aakuvo	negative	ഫിലിങ്ങ് സാദ ആമ സ്തുഡ്യിംഗ് ഇന് പഞ്ചാബ് ഇവ്ഡ് റേലീസ് ആകുവോ	Filing sada ama studying in punjab evd rales akuo
20	20	Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	neutral	ടെലുഗു പദമ പോല ആവാഥീരുന്നല മാംഥീയായീരുന്നുഫൈറ്റ് ഓക്കേ ഈതാണ്ഡു അഥുപോല ഠാന്നേ	telugu padama pola aavathirunnala maanthiyayirunnu fight ok ethandu athupola thanne
21	21	INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	positive	ഇനീ ആരുമ ഉണ്ഡാ ഏനനാ പെരില കലീയാക്കീലോരു അദാര ട്രേല്ര്	Inee Aruma Unda Enana Perila Kaliyakiloru Adara Trailer
22	22	Eee eid ikka ang edutthu ennu paranjekk	positive	ഈം ഏഇഡ് ഇക്കാ അംഗ ഏദുത്തു എന്നു പരന്ജേക്ക	Eem aid ika anga eduthu nay paranjeka
23	23	Ahaa hahaha ha.... Nte ponnikkka mutheeee	positive	അഹാ ഹഹാഹാ ഹാ നീം പോന്നീക്കാ മുഥീ	Aha hahaha ha neem ponneika muthi
24	24	Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	positive	പ്വൂലീചാധ്യ 3 മനിക്കൂര ഇല30ക ക്കു മുക്ലീല വിഏവ്സ	Pvulichadhya 3 manicura leaves 30ka mukleela vyavsa
25	25	Ithin dislike addikunavar lokka tholvikallayirkkum	positive	ഈതീന ഡിസ്ലീകേ അദ്ദീകുനാവര ലോക്കാ ഥോലവികല്ലായിര്ക്കുംമ	Ethina Dislikke Addikunavara Loka Tholavikallairkumma
