	sentence	sentiment
0	Trailer late ah parthavanga like podunga	positive
1	Move pathutu vanthu trailer pakurvnga yaru	positive
2	Puthupetai dhanush  ah yarellam pathinga	positive
3	Dhanush oda character ,puthu sa erukay , mass ta	positive
4	vera level ippa pesungada mokka nu thalaivaaaaaa	positive
5	Thala mass . U1 bgm.     Vera level	positive
6	ivara pathta death vadi madiri irukku	negative
7	0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru	positive
8	Aiyoo thala mass pannita thala	positive
9	ENPT ku kaathu kadanthathellam oru nimishathula poiruchu	neutral
10	When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN	negative
11	Remake of Malayalam Mohanlal movie Devadoodhan	negative
12	Tharamaana sirappaana sambavam inimeal ta paaka pora....	positive
13	Maran  kattu kattitamnue verithanam thalivaaàa	positive
14	Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa	positive
15	Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....	positive
16	En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa	neutral
17	Kanithan + mugamoodi Neenga nambalainalum ithan nesam	positive
18	Enakku iru mugan trailer gnabagam than varuthu	positive
19	ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE	positive
20	Sakthimaan fans like Sivakarthikeyen fans comment	neutral
21	rajini and akshay fans hit like	neutral
22	1 hour 1 million likes	positive
23	Raww vana padama iruku  all the best	positive
24	En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae	negative
25	Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa	positive
26	Rajini ah vida akshay mass ah irukane	negative
27	Thala koda compare panna yarukum thakuthi kidaiyathu mind it	positive
28	Marana mass marana style marna gethu mass trailer rajinified	positive
29	Diwali annante aniyan ullaltha  Step back bigil	neutral
30	Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.	negative
31	Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii	negative
32	dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢	negative
33	Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....	negative
34	Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines	positive
35	Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...	positive
36	Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...	positive
37	epdi like pottavan Eallarum seathupogada	neutral
38	சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.	positive
39	Supper dhanush Anna mass waiting asuran	positive
40	Vera lvl thalaiva u r great	positive
41	Mobile main mera phek dunga iPhone x BARNA aisa problem hoga	negative
42	Ellam avan sayal movie mathiriya irukku🤔	neutral
43	Boss you looking so handsome ND young kekaa	positive
44	Pattaya kelapitey Siva!!!  Awesome!!!	neutral
45	Dahaaaaaaa chitii come back I am waiting get ready to 2.0	neutral
46	Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala	neutral
47	Looks thrilling, thala get up super as lawyer , dai pandey neeya da	positive
48	Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga	negative
49	Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR	positive
50	1:43  Thala da    By thalapathy fan	positive
51	Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga	positive
52	Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super	positive
53	Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....	neutral
54	But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	positive
55	Semmma style... rajini sir is back...	positive
56	My Dear Thala ahhhhhhhhhhhhhh semma GETHU	positive
57	Idduke ₹500 va tarlam... kolla mass	neutral
58	Movie savadi vera level poo..thalaivar thalaivar thaa..mass	positive
59	Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.	positive
60	92k views 132k likes  Fraud	neutral
61	3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????	positive
62	Dai ranjit nee idha parthu film eduka kathuko	positive
63	Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura	positive
64	Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum	positive
65	Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....	positive
66	1:36 *thaa enna look-u daa saami  That bgm lit	positive
67	Guyzz 1m likes vara varaikum vitraadheenga...	positive
68	Velraj sir thalaivana masss a kamchirukaru vera level u	positive
69	U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum	neutral
70	Iam vijay fan kerala and iam waiting super star's petta	positive
71	Oh my god .. it's rajini for you	neutral
72	0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu	positive
73	Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!	positive
74	Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's	neutral
75	Iam sk fan aanaa trailer semma	positive
76	Wow padam tharu mara iruka poguthu  This pongal petta diwali	positive
77	Sema mass marana mass tha i love rajini	positive
78	800k likes varavareku nanu thungamatte nenaikiravage like podunge	positive
79	Damn..im a proud. Chiyaan vikram fan..	positive
80	Enna panna porom sweet sapda porom....	positive
81	entha kannada naiyai ennum tamilnattil erunthu anupalaiya?	negative
82	Vaa thalaiva via diwali mass ur movie bikil  out	positive
83	Veralevel performer Dhanush sir	positive
84	No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	positive
85	Super akshay sir i love u sir	positive
86	Looks like he will SET SCREEN ON FIRE	positive
87	It's pink with ajith Kumar ka chutiyapa	positive
88	Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.	positive
89	Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum	positive
90	Trailer vera level athana Da....aamai kunjugala	positive
91	Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.	neutral
92	Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram	positive
93	1:20 to 2:29 marana massssss	positive
94	No.1 trending....yellarum idha thana ketutu irundhinga	positive
95	Dhanush fans hit like here.....	positive
96	E,,adicha copy da,,,ithu ellam avan seyal movie	negative
97	Like so much Thala from AP PawanKalyan Anna fans	positive
98	Yellaam super, but nawazudin voice mattum nalla illa.	neutral
99	Wow. I love you Thalaivaaaaaa.	positive
100	Thala..... Kola waiting eppo yaa release panna poringa	positive
101	Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...	positive
102	Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?	neutral
103	Comment box pakka vantha like podunga	positive
104	Thalaivar varuvaru sure aa adippaaru	neutral
105	Who else are here after Sarkar movie?	neutral
106	Dialogues ah illama mass scenes la pesirukalaam	positive
107	Pongal namalukku super collection ma !	positive
108	Ennada pittalatama irruku views 51k but likes 99k va	neutral
109	Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!	positive
110	Yuvan bgm kola mass thalaiva marana waiting for #valimai	positive
111	Thalaivar ku ennum vaisae agala Sema	positive
112	Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi	positive
113	Ippa enna panna poram sweet sapada porom ,,,super awesome	positive
114	Thala  U1  Yuvan Shankar Raja  Mass....	positive
115	Shakthiman fans kill the like button	positive
116	1:53 Ant-Man ah pottu Hope pottu polakra adhe smack	neutral
117	Screen Presence la ungala adichukka vera evanum illa Thala	neutral
118	Vera level movie & vasool NKP	positive
119	Vera level acting thalaivar Mass's pakka mass sry petta masssss SSS	neutral
120	Sahoo 12 million nkp innu 9 million tha 🤣🤣🤣	positive
121	Senseless movie ..  just video game..	neutral
122	Thala fans saarbaaga motion poster vendum adhe	positive
123	Rajinikanth sir is my favorite Hero says ARR	negative
124	Kadaram Kondan vs Saaho.... I'm waiting....	negative
125	0.35 & 0.55 sec   wowwwww	positive
126	Last dialogue suit for all fans	positive
127	Thala fans hit like me....	positive
128	Edho sadhi nadakudhu pa inum trending la varala	negative
129	Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga	positive
130	Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga	neutral
131	Dai bahubali 1 & 2.    Kelambu kelambu.	neutral
132	PINK Bollywood  But Like Ajit kumar	positive
133	Comedy ya erukku ithukku billa pandi ok	negative
134	Vs anna semma.......🤗epavum pola neega vera level.........	positive
135	Kk chiyan vikram in kadaram kondan best wishes	positive
136	1:34 Enna paarva da idhu goosebumps guaranteed	positive
137	Marana marana marana.. Sirapana tharamaana padam ...🤗🤗🤗🤗	positive
138	Thala look sema mass nu soldravanga mattum oru like podunga	positive
139	Vanthathu vanthuteenga thala fans ellarum like potutu ponga	positive
140	enada pandey news ah vittutu cinema la nadikuran	positive
141	Ena da bgm ithu yuvannnnnnnnnn rocksssssss	positive
142	1st like Vijay Fanss Hit Likes	positive
143	Ex police cop become a prisoner.	neutral
144	Trailer late ah parthu miss pannavanga.... Ippo happy ah	positive
145	Nazawuddin Siddiqui in pettai  tharamana mudivu	positive
146	Oru pakkam bigil. Bigil anil kunjugalin alaparaikal	negative
147	Super  yaru nu keta chinna kulandhai um solum....... Maestro of Style	positive
148	Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga....	positive
149	Vijay sethupathi fans hit like here	positive
150	Aiyo enaku ipave thalaya padathula pakanumnu eruku	positive
151	THALAAAA  & U1 again ROCK	positive
152	Petta telugu la illea ? missing in tollywood	positive
153	Telugu  Thala fan's hit likes	positive
154	Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay	negative
155	akshay kumar as shiva kumar	positive
156	Siripu vantha oru like podunga	neutral
157	Teaser la iruntha yedho onnu trailer la missing! Aana ithuvum nalla than irukku	negative
158	🤣🤣🤣Maran waiting la panavendam poi saavunga Ajith fans	positive
159	Dhanush fans sarbaga padam vetri adiya valthukal	positive
160	Sweet sappuda porom  Sweet saputtu apdiye ethavthu karama (Viswasam) sappuduvom	positive
161	Pazhaya Rajinikanth ah paatha feeling pa....	positive
162	Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar	neutral
163	neraya neraya neraya neraya neraya what a  performance voice Vera level.	positive
164	Ithan diwali fight..semme kartik..story value va hero value r nu..	positive
165	Dhanush fans oru like potutu ponga	positive
166	Pink !! But like for Ajith	positive
167	Beginning of satyayuga end of kaliyuga	positive
168	Dhanush sir ku Ella get up um set aagudhu	positive
169	Inimal Sun Networkla Petta promo poda start panniduvaanga	positive
170	neraya neraya neraya neraya neraya what a powerful voice.	positive
171	thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu.thala takkarudoi.....	positive
172	Krish movie mask mathiri erukku pa....	positive
173	Chiyaan vikram sir vera 11	positive
174	Ethe maari ennamo Padam pathaa maatiye eruke 🤔🤔🤔	positive
175	thala thanta thalaiya minja evanta	positive
176	2.0 late a vanthalu latest  a vanthurukku	positive
177	Thatha ku jodiya paatis Padam nalla irrukum pola	neutral
178	1999 :padappa-vali now 2019 petta -viswasam	neutral
179	Bigil satham ketta ella kaithiyum amaithithan	negative
180	Confirm 1M likes varumnu soldravange like podunge machanzz	positive
181	Happy new year  Thalaivar padam mass kata pothu	positive
182	Thala Vera Level Maas  U1 Bgm Ultimate	positive
183	Yenda thala enga thala ya vada dislike panni irukkenga	neutral
184	Dai youtube trending la podu da	negative
185	sam c.s vera level ya un bgm	positive
186	Thala vera level n yuvan bgm semmeee...	positive
187	Thala endru sollada thalai nimirndhu nillada .. vanthudaruda en Thala ippa vangada kena.................	positive
188	Are u a virgin girls ??? Kani kazhiyama irukingala ???	neutral
189	Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa	positive
190	All the best Karthi and Lokesh kanakaraaj	negative
191	Romba naaluku Aparam thalaivar...  Sema massa pakurom..... Get rajinified... .....	positive
192	Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la  vilundarom	neutral
193	Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala	positive
194	Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen	negative
195	Elam girls um trailer ah patha maari movie ya kandipaa parungaa....	positive
196	3ena da 300 spartan s BGm la varuthu	neutral
197	I am Kamal Sir Fanzz but i like  2.0 trailer.... waiting fr 2.0 Movie	neutral
198	Vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam	neutral
199	Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom	positive
200	Intha padatha pathe aakanum Thalaivaa aaaaaa.........	positive
201	Kris’s movie pola irukkunu yaarukkavadu feel aahircha	positive
202	Viswasam trailer 7k like  1.4 m  like thala fans like tha trailer	negative
203	Ada dei nama sambatha da dei	positive
204	Nvp voda recorda break pannanum solravanga..like pannunga	neutral
205	Movie pathutan semma mass a irukku.... music la vera leval	positive
206	Marana mass thala I am waiting🦁🦁🦁🦁🦁🦁🦁	positive
207	Intha Padathula Gethu Mass Kaatra Thalaya nadikala! Intha Padathula Intha Naatoda Indraiya Unmaiya Solra Ajith Kumar ah nadichirkaaru! #StopWomenAbuse	positive
208	Vayase aagala pa.. ena effort chanceless.. 🤙	positive
209	Thala yada dialogue delivery sema mass Vera level  goosebumps overloaded	positive
210	Gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu.....	positive
211	Vaera level thala summa na podathiga mokka seenu eppa NAERKONDA PARVAI is coming soon	positive
212	Vayasanalum unga style azhagum innum marala.... Thalaiva roxkzzzzzz	positive
213	Matha actor la Vera level na Niii top level Thalaivaaa	positive
214	Enna panna porom sweet sapda porom petta paraak	positive
215	Dislike Pota Ealarum .... Lusu p___ 🤐	negative
216	Vena padama release pannathinga pakka mudiyala	positive
217	Thala bloods ellaarum oru like podunga	positive
218	Real Rajnikant or dupe ?? Amazingly young !!!	neutral
219	DEEPAVALI KU vera level Padam irukku !! Pakka !! KAITHI DEEPAVALI	positive
220	aiyo #thala marana mass #thala love you so much #thala	positive
221	Thla da . U1 bgm	positive
222	Intha padampothu thalaya asaikka kooda mudiyathu	positive
223	NKP 30 million views varum solravaga thala fans hit like button 2million like	positive
224	Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga	neutral
225	Super super super super star rajini sri good.....	positive
226	Mind blowing  Ipo paarunga therikka vitudalam	negative
227	Idhupola vetradhu kuthradhulam pls kaamikadhinga screen la... padatha paathuthaan paadhi samudhayam kedudhu.... all the best for the team....	neutral
228	Semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala	positive
229	king of kollywood one & only Thala Thala Thala Thala Thala Thala Thala	positive
230	Marana masss thalaiva Hollywood deractor la vaya polaka poranugga	neutral
231	Thala mass! But court room perusa irundhurkalam.	positive
232	Idhu  padam da ommla enna padam da i saw 2 shows back to back vera level	negative
