	Unnamed: 0	Unnamed: 0.1	sentence	sentiment	transliteration	translation
0	0	0	Trailer late ah parthavanga like podunga	positive	ட்ரைலேர் லேத்த் அ பார்தாவங்கா லைக் போதுங்கா	Trailer Lathe A Parthawanka Like not enough
1	1	1	Move pathutu vanthu trailer pakurvnga yaru	positive	மோவ் பதுதும் வநது ட்ரைலேர் பகுர்வ்ங்கா யாரு	Mow All ten Forest Trailer Bagurvnga who
2	2	2	Puthupetai dhanush  ah yarellam pathinga	positive	புதுபேட்ய் தநுஷ  அ யாரேள்ளம் பதிங்கா	Budupedi Dhanusha A who is Patinga
3	3	3	Dhanush oda character ,puthu sa erukay , mass ta	positive	தநுஷ ஓடா சராக்டர் புது ஸா ஏருகாய  மாஸ் தா	Dhanusha fly away Character new Sa Aerukaya Mass Tha
4	4	4	vera level ippa pesungada mokka nu thalaivaaaaaa	positive	வேரா லேவேல இப்பா பெஸுங்காதா மோக்கா நு தலைவா	Vera Not at all Iba Bezungada Mocha Nu leader
5	5	5	Thala mass . U1 bgm.     Vera level	positive	தாலா மாஸ்  உ1 பம்     வேரா லேவேல	Tala Mass U1 Bum Vera Not at all
6	6	6	ivara pathta death vadi madiri irukku	negative	இவாரா பத்தா டீத் வாதி மதிரி இருக்கு	Ivara Ten Teeth Plaintiff Madiri having
7	7	7	0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru	positive	028 90ஸ் கிட்ஸ் ரெபெரென்ஸ்  மாதிலா இருநது குதிசா ஷக்தீமன் காபத்வாரு	028 90s Kids Reference Model of being Kutisa Shaktiman Keep it
8	8	8	Aiyoo thala mass pannita thala	positive	ஐயூ தாலா மாஸ் பந்நீதா தாலா	IU Tala Mass Panneeta Tala
9	9	9	ENPT ku kaathu kadanthathellam oru nimishathula poiruchu	neutral	ஏநப்த கு காதும் கதம்ததேள்ளம் ஓரு நிமிஷாதுலா பாயிருச்சு	Nephta Ku and the ear Kadamthelam A Nimishathula It&#39;s raining
10	10	10	When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN	negative	வென் பாண்டே கெட்ஸ் உப  வம்துமுருகந  இம் ஸ்பெகிங் நோ க்ராஸ் ஸ்பெகிங் சித்த் டவன்	Ven Pandey Gets Sub Vamdumurugana Im Specking No Cross Specking Sid Dawn
11	11	11	Remake of Malayalam Mohanlal movie Devadoodhan	negative	ரேமாம்க் ஆப் மலையாளம் மோஹன்லால மோவி தேவாதூதந	Remamc App Malayalam Mohanlal Movie Devaduthanana
12	12	12	Tharamaana sirappaana sambavam inimeal ta paaka pora....	positive	தாரமாநா ஸிரப்பாநா ஸம்பவம இநீமீல தா பாகா போரா	Taramana Syrup Sambavama Already Tha Baka War
13	13	13	Maran  kattu kattitamnue verithanam thalivaaàa	positive	மரண  கட்டு கத்திதாம்னூ வேரீதநாம் தாலீவாàஆ	Death bandage Yell Different name Taleeva
14	14	14	Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa	positive	எல்லா ட்ரைலேர் லா லாஸ்ட் லா ஓரு மாஸ் டியாலூஜ் வைசிகுரிங்கா பா	Ella Trailer La Lost La A Mass Dialog Vysikuringa Pa
15	15	15	Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....	positive	இப்பா ஸாமி தாலா பதாதுலா வேரா டிரெக்டர் பெராபகுராதும் ஏவாலோ பெரியா ஸம்தோஸமா இருகு	Iba Sami Tala Badatula Vera Tractor Not much Anything Beria Samdosama sit down
16	16	16	En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa	neutral	ஏந தலைவன் விஜய்ஸேதுபாதீ காகா மாடும் நா பதம் பாபாந மதா ஏநதா ப் இல்லா	why leader Vijay Sethupathi Gaga Cow Na Term Babana Madha something B No
17	17	17	Kanithan + mugamoodi Neenga nambalainalum ithan nesam	positive	கநீதந  முகாமூதி நீம்கா நம்பலைனாலம் ஈதந நேஸம்	Kanithana Manager Neemka Trustworthy Ethan Nice
18	18	18	Enakku iru mugan trailer gnabagam than varuthu	positive	ஏநக்கு இரு முகந ட்ரைலேர் க்நாபகம தந வருது	trade Be Mukhan Trailer Gnabhagama own is coming
19	19	19	ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE	positive	அர் யூ எக்ஸ்பெக்டிங் ஹேப்பீ தீபாவளி பார்ஸ் டியாலோகு இன் 20 மோவி	Ar U Expecting Happy Diwali pars Dialogue of 20 Movie
20	20	20	Sakthimaan fans like Sivakarthikeyen fans comment	neutral	ஸக்தீமாந பன்ஸ் லைக் ஸீவாகார்தீகேயேந பன்ஸ் காமஎண்ட்	Sakthimana Buns Like Sivakarthikeya Buns Comand
21	21	21	rajini and akshay fans hit like	neutral	ராஜீநீ அண்ட் அக்ஷய பன்ஸ் ஹித லைக்	Resign And Akshay Buns Hita Like
22	22	22	1 hour 1 million likes	positive	1 ஹோர் 1 மில்லியன் லீக்ஸ்	1 Hor 1 million Leaks
23	23	23	Raww vana padama iruku  all the best	positive	ராவ வநா படாமா இருகு  ஆல் தே பெஸ்ட்	Rev Vana Padama sit down By tea Best
24	24	24	En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae	negative	ஏந டா ட்ரைலேர் லய இவ்லோ ஸ்லோ மோட்டின் நா பதாதுலா பாதீ துரேஷன் ஸ்லோ மோட்டின் லய முதிசீர்பீம்கா போலாயா	why Dr Trailer Rhythm Ivlo Slow Modine Na Badatula half duration Slow Modine Rhythm Mutishirbhimka Like
25	25	25	Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa	positive	தலைவா உங்காலா ஸ்க்ரீன் பக்கம் போதே இப்பதீ எருகிங்கா நா  நெர்லா பார்தா யாப்பீடீ எருபிங்கா ஓரு முரை தரிஸநம் கேதைகுமா	leader Ungala Screen page enough This is it Erukinga Na Nerla Did you see Yeapidee Erubinga A Murai darshanam Kethaikuma
26	26	26	Rajini ah vida akshay mass ah irukane	negative	ராஜீநீ அ விதா அக்ஷய மாஸ் அ இருகான்	Resign A Vida Akshay Mass A Irukhon
27	27	27	Thala koda compare panna yarukum thakuthi kidaiyathu mind it	positive	தாலா கோடா கம்பாரே பன்னா யாருகம் டாகுதீ கிதையாது மிண்ட் இட	Tala Coda Kampare Panna anyone Daghudi It doesn&#39;t break Mint Place
28	28	28	Marana mass marana style marna gethu mass trailer rajinified	positive	மராநா மாஸ் மராநா ஸ்டைல் மர்னா கேதும் மாஸ் ட்ரைலேர் ராஜீநீஃபீத்	Marana Mass Marana Style Marna Ketum Mass Trailer Rajneefeet
29	29	29	Diwali annante aniyan ullaltha  Step back bigil	neutral	திவாலி அன்னன்ட் அனியந உல்லால்தா  ஸ்டெப் பக் பிகில்	Diwali Anant foreign Ullalta? Step Pg Bigil
30	30	30	Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.	negative	டியாலோகு புண்டாயே புரியாலா ஓதா தேட்ரே லா நாசம் ஸ்வுண்ட் சேரி பன்னுங்காதா	Dialogue Bundaye Buriala Oda That&#39;s it La Destruction Sound Slum Don&#39;t give up
31	31	31	Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii	negative	போடா மோக்கா மூன்ஜீ உநநா பதாலே சிரீபுதந வருது ஸுபர் ஹீரோவாம் அதுதா முகாமூதீ	Go Mocha Moonjee Unana Badale Sriputana is coming Super A hero Is that Camp
32	32	32	dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢	negative	தீ கேல்தும் குதீ அஜீத இவாந்ய யாரு நாதிகா ஸோனா	fire Will ask Kudi Ajita Vanya who Nathika Zona
33	33	33	Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....	negative	யாரு இவாநா இந்தா கோஸு அஸூரண தீ என்னாடா உங்கா ராஸன்	who Ivana Inda Kosu Asurana fire Don&#39;t you? Unga Rawson
34	34	34	Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines	positive	நாம்மா கிட்டே காடு இருந்தஏதுதுகுவம்கா நாம்மா கிட்டே ரூபா இருந்தா புதுகிகு வாம்கா பதிப்பு மட்டும் நாம்மா கிட்டே இருந்து எடுதுகாவே முதியாது  ஸுபெர்ப லைன்ஸ்	Namma Kitty forest No matter what Namma Kitty Rs If there is Pudukiku Come on Edition Only Namma Kitty from Take it never get old Superb Lines
35	35	35	Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...	positive	ஏதுக்குதா இவ்லோ ஆக்டர்ஸ் ஹைபோதலைவர பதாம்னா அவர மாதும்தா  இருகானம்	For what? Ivlo Actors Hypothetical Badamna His madumta Bikanam
36	36	36	Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...	positive	த்லிஅவா தலைவா தாலியாவா தலைவா தலைவா	Tliava leader Talia leader leader
37	37	37	epdi like pottavan Eallarum seathupogada	neutral	இப்டி லைக் பாட்டாவந ஈல்லார்ம் சீதுபோகதா	Ift Like Patawana Ealarm Is it okay?
38	38	38	சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.	positive	சயமக சநதகக தரஞசவன தன சபபர ஹர  100 ட்ரூ இன் தே ஏஜ் இன்பார்மேட்டின் அபுண்டன்ஸ் அண்ட் மாஸ் டிஸ்ட்ராக்டின்ஸ்	Sayamaka Sign up Dharanasavan Tana happy Hara 100 True of tea Age of Informatin Abundance And Mass Distractins
39	39	39	Supper dhanush Anna mass waiting asuran	positive	ஸுப்பர் தநுஷ அந்நா மாஸ் வைடிங் அஸுரன்	Super Dhanusha That day Mass Whiting Asuran
40	40	40	Vera lvl thalaiva u r great	positive	வேரா ல்வ்ல் தலைவா உ ர் க்ரேட்	Vera Lvl leader U R Crate
41	41	41	Mobile main mera phek dunga iPhone x BARNA aisa problem hoga	negative	மொபைல் மேன் மேரா பேக துங்கா இபோன் க்ஸ் பர்னா அயைஸா ப்ரோப்ளம் ஹோகா	Mobile Man Mera Pay Dunga iPhone Ks Barna Aisha Problem Hoga
42	42	42	Ellam avan sayal movie mathiriya irukku🤔	neutral	எல்ளம் அவன் சயால் மோவி மதீரியா இருக்கு	limit He Syal Movie Materia having
43	43	43	Boss you looking so handsome ND young kekaa	positive	பாஸ் யூ லூகிங் சோ ஹாண்ட்சோம் ந்த் யௌங் கேகா	Boss U Looking So Handsome nth Young Gaga
44	44	44	Pattaya kelapitey Siva!!!  Awesome!!!	neutral	பட்டாயா கேலாபிதே ஸீவா  அவேசோம்	Pattaya Don&#39;t ask Siva Awesome
45	45	45	Dahaaaaaaa chitii come back I am waiting get ready to 2.0	neutral	தஹா சீதீ கோம் பக் இ அம் வைடிங் கெட் ரெடி டூ 20	Haha Seethi com Pg e Am Whiting Get Ready Two 20
46	46	46	Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala	neutral	போநீ கபூர் சிர் இநீ ஏநதா உப்தேதி இலாமா ஏதும ரெலியாஸ் பநாதீங்கா சிர்  இந்தா சின்ன பஸம்கா தோலா தம்கா முதியாலா	go Kapoor sir you something date of birth Illama Nothing Relias Panathinga sir Inda small Pasamka skin Damka Are you old?
47	47	47	Looks thrilling, thala get up super as lawyer , dai pandey neeya da	positive	லூக்ஸ் த்ரிலிங் தாலா கெட் உப ஸுபர் அஸ லவ்யர்  டை பாண்டே நியா டா	Lukes Thrilling Tala Get Sub Super Asst Lover Tie Pandey Nia Dr
48	48	48	Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga	negative	நீம்கா என்னா வேநா காதுகோங்கா ஆநா ஹோலிவுட் பதாதுக்கு துப்பிங் மட்டும் காதுகாதீங்கா	Neemka what Don&#39;t Khatugonga The elephant Hollywood For Padatu Tupping Only Don&#39;t be deaf
49	49	49	Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR	positive	எனா டா நாதாகுது இங்கா ஏபா ஸதீயாமா எதீர பகதா ட்ரைலேர் தோடால்லீ யூனிமாகினாபிள் ட்ரைலேர் தாலிவார்	Ena Dr Nathakutu Inga Aba Satiyama against Bhagat Trailer Dig it up Unimaginable Trailer Thaliwar
50	50	50	1:43  Thala da    By thalapathy fan	positive	143  தாலா டா    பி தலாபதி பன்	143 Tala Dr B Thalapathy Bun
