id,text,prediction,annotation,metadata,score,batch_id
0,Hoooooo boy I kinda hope LSU doesn â€™ t go for this . I feel like it â€™ s best for all our sakes if the actual game serves â€¦,negative,neutral,,,0
1,Jcb & RCBgirl = CB ( CHUTIYA BANAO ) ðŸ¤” Nahi Vishwas nahi ho raha click here ðŸ‘‡ check â€¦,negative,negative,,,0
2,Alhamdulilah mai to nahi hon .. And perfume bht han bas kabhe perfume ki advertisement nahi bna .. ðŸ˜›,positive,neutral,,,0
3,Sunane main to yeh bhi aya hai BJP trolls are fired until 2023 Kaphi kharcha ho gya Nahi ?,negative,neutral,,,0
4,Hye mjhy yd aya aj to ap ka special thanks krna tha thanks aloooot bhai ðŸ™ðŸ™ bcoz aj match k doran hm ba â€¦,positive,positive,,,0
5,Harsh pen decision . Didn't have much option with his arm . Big second half required . Still have every faith . Come on Tottenham !!!! # COYS,positive,positive,,,0
6,Freedom nahi wo pareshaan hai,negative,neutral,,,0
7,Damn popat ho Gaya ye deleting it now will tweet this tomorrow ðŸ˜‚,positive,neutral,,,0
8,THE HASHTAGS OGMYIF I LOE HIM SO KUCH,positive,positive,,,0
9,_ Chikna Madan Dadar par Bhagega if India wins World Cup .... if u agree,positive,positive,,,0
10,mager wh Confirm nahi ho paya or usky baad train pai logo ki bhir dekhi to etni ki pair rakhne ki jagah Nahin thi â€¦,negative,neutral,,,1
11,_ Nahi chalegi .... achhi films chalti nahi hain . Faltu ka drama karenge jaat-paat wale . Su â€¦,negative,negative,,,1
12,_ rathee Abe dalle utni tune classe pass ni ki hongi jitni inke paas PhD degrees hai . Neem ka patta â€¦,negative,negative,,,1
13,ðŸŽ¶ We've got a beatastic prize up for grabs ðŸŽ§ We've teamed up with our friends at & giving you the chance to # WIN a pa â€¦,positive,neutral,,,1
14,_ gadkari Jai Hind Nitin ji aap ke saath Hamein bhi Garv hai aur yakin bhi hai sabka Saath sabka â€¦,positive,positive,,,1
15,Much awaited # Bharat Advance Booking Started all across India . Go Grab your Tickets now ! # BharatThisEid # Ka â€¦,positive,neutral,,,1
16,Namaskar Modi ji ... Remember now planting trees is a big callenge before our people . Its a good habit to improve wi â€¦,positive,positive,,,1
17,_ 2244 Piya Santra Daughter of Bablu Santra Martyr of Pulwama attack going to New Delhi for taking part in the oath taking cerem â€¦,negative,neutral,,,1
18,_ chanda Word the best Synonym You,positive,neutral,,,1
19,_ here Mujhe tu ye smjh nahi ati pakistan cricket team exist hi kyun krti hi bc ðŸ˜‚,negative,negative,,,1
20,Happy Birthday besty kong mArupOk !! Cutie mo dyan hehe . love youuu ðŸ˜ðŸ’›,positive,positive,,,2
21,Bhagwan ram Ko toh chor do BJP ( balatkar janta party ) ram ji Ka name leta ho vote jitna Ka liya ram j â€¦,negative,neutral,,,2
22,Very nice ðŸ‘ðŸ‡µðŸ‡°ðŸ‡µðŸ‡°ðŸ‡µðŸ‡°ðŸ‡µðŸ‡°ðŸ‡µðŸ‡° god bless all muslims pakistan army and pakistan zindabaad inshaallha,positive,positive,,,2
23,Dube iron lady ne toh tum kahi ke nahi chore ... ab hindu musalman kaise karoge ??? Maja aa gaya jaw â€¦,negative,neutral,,,2
24,News paper aur News channel pe dikhane wale sabhi news sahi nahi hote ... Specially iis dor mai . Ham au â€¦,negative,negative,,,2
25,bhaisaab namaskar .. Mai Chiraiyakot Mau ka resident Hun .. yahan bizli ki halat bahut kharab hai .. koi fix â€¦,negative,neutral,,,2
26,__ khan Ye PTI ke ministers itne na-ehl hain keh sifarish bhi written mein kerwate hain . Abay aqal ke andhon aisa kon kerta aaj ka â€¦,negative,neutral,,,2
27,_ 4nwar Tumhara leader kaptan khan to apne bacho ko apna nhi manta woh pakistan ko apna kia sam â€¦,negative,negative,,,2
28,_ Sharma _ am _ superbb Bhai vajpayee ka zamaana alag ta vajpayee ji toh modi ko bhi ha â€¦,negative,positive,,,2
29,Aapko aur pradhan mantri shri narendra modi ji ko dher sari subhkamnaye and this is my first vote for India,positive,positive,,,2
30,New video by T-Series Kudiye Ni Video Song | Feat . Aparshakti Khurana & Sargun Mehta | Neeti Mohan | New Song 2019,positive,neutral,,,3
31,Sir u are great but manshik taur pr bimar ye duniya apko smjh nahi skti,negative,positive,,,3
32,Size naapney ka shoq hi bohat hai dr . Saheba ko . Awaeen nahi mard in k paas khaas tor pe ilaaj karaney jatey . Mai â€¦,negative,neutral,,,3
33,Therez is page on facebook5saal krjriwalthat page has done most damage to u .. all full of antimodi â€¦,negative,negative,,,3
34,No special effects no make up . Just a strong Snapchat filter . This is me . No matter what you're going through jus â€¦,positive,neutral,,,3
35,Kya hai yesab pakistan ka video dikhake india ka naam kyu kharab kar rahe ho,negative,negative,,,3
36,Ham abhi enjoy Kar rahay hain 2 hour's bad sehri ka time ho GA Dubai me ... Phir khud hi banai gain ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,positive,positive,,,3
37,ðŸ‡®ðŸ‡³ sir kab rajniti chod rhe ho desh k sath apne pagdi ko bhi dhoka doge ap ne bola tha ki rahul agr am â€¦,negative,negative,,,3
38,Yehi to congress ke problem hain we desh ke lye nahi birodi party ko harane ke â€¦,negative,negative,,,3
39,_ twt YAS baby u did great I am sooooo fucking proud of yall yall deserve the world,positive,positive,,,3
40,_ PATRAg Ek or Asman ko chhat ki tarah Allah ne bichchaya hai uski uchai ko badhaya hai taki ham log aaram se â€¦,negative,positive,,,4
41,Bro ma aj apse packages mall me mila tha bro ma apse bhot pyaar karta ho or ma apko apna bar a Bhai ma â€¦,positive,positive,,,4
42,Wo bhi nai lega ab is flop piddu GIRTA ( GIRGIT + KUTTA ) ko,negative,negative,,,4
43,Sarkar bachao ... Ye sab to chalta rahega ... Modi ji sab thik kar dengy .. Abhi Congress all clear ho â€¦,positive,positive,,,4
44,No doubt people like you simply not using the brains and believe the fake agenda and â€¦,negative,negative,,,4
45,_ Rashid Reetika ji jai hind aur bharat mata ki jai kahne se desh Bhak â€¦,positive,neutral,,,4
46,Abe chowkidar hi chor hai ... Mirchi lagi tmko bcz tm v dalal ho ..,negative,negative,,,4
47,Yoooo I don â€™ t like Jordan 4s for the most part but these are cleannnnnn,positive,positive,,,4
48,Bhai kabhi odisha bhi ake dekho It's a very lovely place !,positive,positive,,,4
49,Its a BIG BIG Thing when Salman Khan knows about his Biggest Fan Club We are completely overwhelmed Salman Khan Universe â€¦,positive,positive,,,4
