	Unnamed: 0	uid	sentence	lang	sentiment	translation
0	0	1	After this I 'm just gonna go home drink summ hot chocolate con bolillo and sleep	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'EN', 'EN']	positive	After this I 'm just gonna go home drink summ hot chocolate with roll and sleep
1	1	2	Eating a good as posole ha	['EN', 'EN', 'EN', 'EN', 'ES', 'NA']	positive	Eating a good as posole he has
2	2	3	Dale mijo , no cop no stop	['ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'EN']	neutral	Dale Mijo , no cop no stop
3	3	4	Damn I love listening to los cardenales de nuevo leon y el poder del norte at night	['EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN']	positive	Damn I love listening to the cardinals of new leon Y the can of north at night
4	4	5	I 'm pretty happy phone is finally recognizing the Spanish words I use with the swipe mode on jaja	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES']	positive	I 'm pretty happy phone is finally recognizing the Spanish words I use with the swipe mode on eggs
5	5	6	mmmmm never been to a bonfire ... I prefer carne asada jajaja	['NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'ES', 'ES', 'NA']	positive	mmmmm never been to a bonfire ... I prefer meat asada LOL
6	6	7	Then again I just stood up and I might still be Lil tipsy jajaj	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES']	positive	Then again I just stood up and I might still be To tipsy ha ha
7	7	8	Last night once we all finished eating our grapes we all took a shot of tequila lol	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN']	positive	Last night once we all finished eating our grapes we all took a shot of tequila lol
8	8	9	jaja I know you 're not you 're one in a billion precious( = and your mom would call you callejera for shopping ? Lol that 's funy	['NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN']	positive	eggs I know you 're not you 're one in a billion precious( = and your mom would call you street for shopping ? Lol that 's funny
9	9	10	allright si no ya sabe las consequencias !! Eh haha	['EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES']	positive	allright and no of You know the consequences !! Eh haha
10	10	11	mmm hasta de beso me saludo i wass like omg omg lol jk jk	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']	positive	mmm until of kiss me greeting i wass like omg omg lol jk jk
11	11	12	Maury bien happy with his present que le regalo su Padrino Oscar ! #futuremusico	['NA', 'ES', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA', 'NA']	positive	Maury good happy with his present what the gift are Godfather Oscar ! #futuremusico
12	12	13	Cuando Mis parents me dejan ir el date me Keda Mal / . - No MAMEN	['ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'NA', 'NA', 'NA', 'ES', 'ES']	negative	When What parents me leave and the date me Who Times / . - No MAMEN
13	13	14	Gracias that means a lot :) & tbh luck has nothin 2 do w/ it , its all Love , Strength , & Dedication , Sin eso el ♥ no es nada !	['ES', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'NA', 'NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA']	positive	Thank you that means a lot :) & tbh luck has nothin 2 do in/ it , its all Love , Strength , & Dedication , Sin it&#39;s the ♥ no it is anything !
14	14	15	CAN I GET A AMEN !!!!!!! LIKE DAMNNN MF HALLELUJAH !!!! Ese Guache David se la rifo #Shocked #ItsReal #TeAplaudo #Keeper	['EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'NA', 'EN', 'NA', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'EN', 'EN', 'ES', 'EN']	positive	CAN I GET A AMEN !!!!!!! LIKE DAMNNN MF HALLELUJAH !!!! That Gouache David with the a reef #Shocked #ItsReal #IApplaud #Keeper
15	15	16	Misplace : Extraviar ( diferente a perder ) . I misplaced my keys ( no las perdiste , solo no sabes donde están	['EN', 'NA', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES']	neutral	Misplace : get lost ( different a lose ) . I misplaced my keys ( no the you lost , alone no you know where is it so
16	16	17	Nor should he be ! Algo así como “ y no debería ” He 's not allowed to drink , nor should he be !	['EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA']	neutral	Nor should he be ! Something So as “ Y no should ” He 's not allowed to drink , nor should he be !
17	17	18	son a lot Pero Nomas 3 me Gustaron 😛 I Uno has a truck el Fue el que came scoop c ; haha they cool 💁 especially la Suegra (;	['ES', 'EN', 'EN', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'EN', 'ES', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'ES', 'ES', 'NA']	positive	son a lot But Rentals 3 me Gustaron 😛 I One has a truck the It was the what came scoop c ; haha they cool 💁 especially the Mother in law (;
18	18	19	lmao its funny cause primero andan hablando d uno y luego vienen a pedir favores & I 'm just like nah buscenle x otro lado !	['EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA']	negative	lmao its funny cause first from the moment talking d one Y later they come a ask favors & I 'm just like now, buscenle x other side !
19	19	20	"Por ejemplo "" other than/aparte de "" en algunos casos tiene MUCHO más sentido que "" otro que "" saludos :)"	['ES', 'ES', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'ES', 'NA']	positive	"By example "" other than/aparte of "" in Some cases have MUCH plus sense what "" other what "" Cheers :)"
20	20	21	I do n't want to be ( 18 ) but I think you are way ( 19 ) for this position ( 18 : Grosero ) ( 19 : Relajado/perezoso )	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'ES', 'NA', 'NA', 'NA', 'NA', 'ES', 'NA']	negative	I do n't want to be ( 18 ) but I think you are way ( 19 ) for this position ( 18 : Rude ) ( 19 : relaxed/lazy )
21	21	22	no pos wow , Fuhk the tmbim a Los heats	['ES', 'ES', 'EN', 'NA', 'EN', 'EN', 'ES', 'NA', 'ES', 'NA']	negative	no pos wow , Phew the tmbim a The heats
22	22	23	He already knocked him down in the first no mamar	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES']	neutral	He already knocked him down in the first no BREAST
23	23	24	Si Kiero Homie ; b	['ES', 'ES', 'EN', 'NA', 'NA']	positive	And Crooked Homie ; b
24	24	25	Si , es hora punta , como en Colombia decimos hora pico , no me atreví a escribirlo , no quería escribir un coloq :) salds ty ! :)	['ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'NA', 'NA']	positive	And , it is hour tip , as in Colombia we say hour pico , no me I dared a write it out , no wanted to write and coloq :) sweet ty ! :)
25	25	26	Yo ! Where the fuck my mom at ? Traigo Hambre y Ella de callejera No ! No ! No ! No !!! Yo quiero Breakfast k se venga Home NOW !!! * Calling Her * ..	['EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'NA', 'NA']	negative	They ! Where the fuck my mom at ? I bring Hunger Y She of street No ! No ! No ! No !!! They I want Breakfast k with come Home NOW !!! * Calling Her * ..
26	26	27	tas wacheando porn o.O ewww lol jj	['ES', 'NA', 'EN', 'NA', 'EN', 'EN', 'EN']	positive	that young man porn oO ewwww lol jj
27	27	28	it 's lagging in me too #valiendoverg , hahaha ni te creo xD , this semester gunna fast btw so the work will pile up	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']	positive	it 's lagging in me too #valiendoverg , haha in the I think xD , this semester gunna fast btw so the work will pile up
28	28	29	Bitter-Sweet : Dulce y amargo ( agridulce ) . It was a bitter-sweet moment when my daughter moved out for college .	['EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'NA', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA']	neutral	Bitter-Sweet : Sweet Y bitter ( bittersweet ) . It was a bitter-sweet moment when my daughter moved out for college .
29	29	30	I just came back from the gym and I 'm tired as shit 😩 , ima shower eat some enfrijoladas y a dormir lol	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'NA', 'ES', 'EN']	neutral	I just came back from the gym and I 'm tired as shit 😩 , have shower eat some enfrijoladas Y a sleep lol
30	30	31	I ’ve never heard of that : No tener conocimiento sobre algo P1 : I think I ’ll buy me a loco burrito . P2 : Loco burrito ? I ’ve never heard of that	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN', 'NA', 'NA', 'NA', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']	positive	I ’ve never heard of that : No to have knowledge about something P1 : I think I ’ll buy me a instead burrito . P2 : Instead burrito ? I ’ve never heard of that
31	31	32	Why tf is everyone on my tl talking about they need to take a shit #nopostacabron #pinchescagones	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES']	negative	Why tf is everyone on my tl talking about they need to take a shit #nopostacabron #pinchescagones
32	32	33	Onta el guy que Iva Llevar a taco Moore tomorrow 😦 Nomas me ilusionastes 😂😁👌	['NA', 'ES', 'NA', 'ES', 'NA', 'ES', 'EN', 'ES', 'NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA']	neutral	Onta the guy what Iva Wear a taco Moore tomorrow 😦 Rentals me excited 😂😁👌
