	Unnamed: 0	Unnamed: 0.1	sentence	sentiment	transliteration	translation
0	0	0	hoo mammokka police vesham aaha anthas	positive	ഹോ മമോക്കാ പോലീസ് വേഷമ ആഹാ അംതസ	Ho Mamoka Police costume Aha Amtasa
1	1	1	Oru rekshayum illa...kidilam kannu nananjupoyi	positive	ഓരു രേക്ഷയുംമ ഇല്ലാകിദിലമ കന്നും നാനംജുപോയി	one Reksha too Illakidilama The hill Nanamju went
2	2	2	Ikka     waiting.........	positive	ഇക്കാ     വൈറ്റിങ്	Ika Whiting
3	3	3	Raju Ettante Oro Shorttum Ijathi ppwli	positive	രാജു ഏട്ടാന്തേ ഓരോ ശോര്ത്തമ ഇജാഥീ പ്പ്വ്ലീ	Raju Eighteen each shortness of breath Ijathi Pvlee
4	4	4	Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	positive	ഏത്തന ഫംസില നേത്തി പോയാ ആരേന്കീലുമ ഉന്ഡോ    മദുരരജവൈറ്റിങ് 	What is it? Famsila Got it go away Who are you? undo Madurarajawaiting
5	5	5	Last aa chadi adi.... Uff.        Frm an ettan fan	positive	ലാസ്റ്റ് ആ ചാദീ ആദി ഉഫ്ഫ        ഫ്ര്മ ആന ഏത്തന ഫന	Last That Chadee Adi Phew Frm elephant What is it? Fana
6	6	6	heavy mass	positive	ഹേവ്യ മാസ	Hevya month
7	7	7	Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	neutral	പുലിമുര്ഗന 2 ആദ്യമ ഓരാല്ഡ് തല്ലു പിന്നേ സമേ കത്തില ഒട്ടാക്കുല്ലാ ആദി	Pulimurgana 2 First daughter Orald hit Then same in the letter No camel Adi
8	8	8	Nte ponno oru raksha Illa Ennaaa Trailer	positive	നീം പോനനോ ഓരു രക്ഷാ ഇല്ലാ എന്നാ ട്രേല്ര്	Neem Don&#39;t go one Raksha no I mean The trailer
9	9	9	Mammookka fans like adi. Love u ikka	positive	മമൂക്കാ ഫംസ ലീകേ ആദി ലവ ഉ ഇക്കാ	Momoka Phamsa Leakey Adi Love U Ika
10	10	10	Oh mass o mass laletta katta waiting....Bgm	positive	ഓ മാസ ഒ മാസ ലാലെട്ടാ കട്ടാ വൈറ്റിങ്ബമ	oh month O month Laletta Kata Whitingbama
11	11	11	Ith powlichu vaariyitte pooku....	positive	ഇത പോവ്ലീചു വാരിയിറ്റ് പൂകു	This Povlich Variet the flower
12	12	12	7.3k dislike adichavanmaarod onne parayanollu......  OMKV	negative	73ക ഡിസ്ലീകേ ആദിചവന്മാരോദ ഓന്നേ പരായനോല്ലു  ഓമക്വ	73 k Dislike Adichavanoroda Onne Parayanollu Omakwa
13	13	13	June 16 Keralakara ilakki marikkum ikka	positive	ജൂണ് 16 കേരളകര ഈലാക്കീ മാരീക്കുംമ ഇക്കാ	June 16 Kerala Ealaki Marikumma Ika
14	14	14	Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	neutral	പദമ കാണ്ഡു കൊലാം പക്ഷേ ചിലാ ഇദാംഗലില ലഗ ഉണ്ട് എന്നു ഏനീകു ഥോനീ	Padma Kandu kill But some This is not the case Laga There is that Many Thoney
15	15	15	Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	positive	ഇക്കാ ഡി കാര്റ്റര് ഹിത ആവമ മാമാംനകമ എന്നഥീല ഓരു സമ്സ്യാവുംമ വ്ന്ദാ	Ika D Carter Hita Awama Mamamnakama Therefore one Is it a problem? Wow
16	16	16	vaada a otta vili athu mathi .athu maathram mathi	positive	വാദാ ആ ഓട്ടാ വിലീ അതു മഥീ അതു മാഥ്രാമ മഥീ	argument That run Wiley that Matthew that Mathrama Matthew
17	17	17	#mamangam uff ijjathi trailer oru rakshem illa poli	positive	മമംഗമ ഉഫ്ഫ ഇജ്ജാഥീ ട്രേല്ര് ഓരു രക്ഷേമ ഇല്ലാ പോളി	Mamanga Phew Ijjathi The trailer one Welfare no Polly
18	18	18	Nalla polippan school life kanam katta waiting for you Mammukka	positive	നല്ലാ പോലിപ്പന സ്കൂല് ലീഫ് കനാമ കട്ടാ വൈറ്റിങ് ഫര യൂ മമ്മുക്കാ	good Polypana School Leaf Kanama Kata Whiting Fara Yu Momma
19	19	19	Feeling sad am studying in punjab ivde release aakuvo	negative	ഫിലിങ്ങ് സാദ ആമ സ്തുഡ്യിംഗ് ഇന് പഞ്ചാബ് ഇവ്ഡ് റേലീസ് ആകുവോ	The filling Plain tortoise Studying In Punjab Evd Raleigh&#39;s whether
20	20	20	Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	neutral	ടെലുഗു പദമ പോല ആവാഥീരുന്നല മാംഥീയായീരുന്നുഫൈറ്റ് ഓക്കേ ഈതാണ്ഡു അഥുപോല ഠാന്നേ	Telugu Padma like Avathirunnala The fight becomes dizzying okay Etandu like that Thane
21	21	21	INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	positive	ഇനീ ആരുമ ഉണ്ഡാ ഏനനാ പെരില കലീയാക്കീലോരു അദാര ട്രേല്ര്	You Someone Unda Enana Perilla Kaliyakiloru Adara The trailer
22	22	22	Eee eid ikka ang edutthu ennu paranjekk	positive	ഈം ഏഇഡ് ഇക്കാ അംഗ ഏദുത്തു എന്നു പരന്ജേക്ക	Ahem Aid Ika Member Eduthu that Paranjeka
23	23	23	Ahaa hahaha ha.... Nte ponnikkka mutheeee	positive	അഹാ ഹഹാഹാ ഹാ നീം പോന്നീക്കാ മുഥീ	Aha Hahaha Ha Neem Don&#39;t go Muthi
24	24	24	Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	positive	പ്വൂലീചാധ്യ 3 മനിക്കൂര ഇല30ക ക്കു മുക്ലീല വിഏവ്സ	Poolichadhya 3 Manicure Leaf 30 kg to Mukleela Vevsa
25	25	25	Ithin dislike addikunavar lokka tholvikallayirkkum	positive	ഈതീന ഡിസ്ലീകേ അദ്ദീകുനാവര ലോക്കാ ഥോലവികല്ലായിര്ക്കുംമ	Athena Dislike Adhikunavara Loca Tholavikallairkumma
26	26	26	FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	positive	ഫ്ദ്ഫ്സ ലോക്കെഡ്  ലാലെത്തന  രാജുത്തന  ഉഫ്ഫ ഏജാഥീ	Fdfsa Locked Lalethana Rajuthana Phew Ejathee
27	27	27	Feel good movie 2019 le best movie aavum ithu urappu	positive	ഫീല ഗുഡ് മോവീഏ 2019 ലേ ബെസ്റ്റ് മോവീഏ ആവഉംമ ഇതു ഉറാപ്പു	Phila Good The movie 2019 Lay Best The movie Ummmm This Urapu
28	28	28	1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	negative	1ക ഡിസ്ലീക്സ് ഏല്ലാ ഡിസ്ലീകേ പന്നീകാല്കുമ ഇന്ധേ നാദുവീരസ് നമ്സ്കാരാമ	1 k Disleaks Ella Dislike Pannikalkuma Inde Naduvirus Hello
29	29	29	2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	positive	2മിലിഓന് ഒന്ന് ദയ പൂലുംമാഇല്ലാ ഇരാഗിത്ത ഗ്രേറ്റ് ലാലെട്ടാ	2 million One mercy There is no pool Iragita Great Laletta
30	30	30	Eante ponnooo romanjam vannu poeonnum parayanilla	positive	ഈന്ത പോന്നൂ റോമംജമ വനനു പോഇയോന്നമ പരായനിലആ	date go Romamjama to the forest gone Parayanila
31	31	31	Eth oru onnonnara padam aavum enn urappullavar like adi	positive	ഏത ഓരു ഓനനോന്നാരാ പദമ ആവഉംമ ഏന ഉറാപ്പുല്ലാവര ലീകേ ആദി	Which one Onanonnara Padma Ummmm Ena Urapullavara Leakey Adi
32	32	32	Surajettan kunjunni mash ayi abhinayichal powlikku.m	positive	സുരജേത്തന കുന്ജുന്നീ മാശ അയീ അഭിനഇചല പോവ്ലീക്കുംമ	Surajetna Kunjunni Masha Aye acting Povlikumma
33	33	33	Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	positive	പക്കാ ട്രേല്ര് രാജുവേത്തന ബ്രില്ലിയാന്സ് ലാലെട്ടാന്തേ എല്ല തിമ ബെസ്റ്റ് ചരാക്ട്ര് ആവഉംമ ലവ ഉ ലാലെട്ടാ	Paka The trailer royalties Brilliants Laletante Ella Tima Best Character Ummmm Love U Laletta
34	34	34	Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	positive	ലുസീഫര കാണ്ഡു ഏനി ഏതു കനനമ ഓംഹ	Lucifera Kandu Anny Which Kananama Omha
35	35	35	Lalettan fans full support und makkaleee......	positive	ലാലെത്തന ഫംസ ഫുഅല സുപ്പോര്ട്ട് ഉണ്ട് മക്കാലീ	Lalethana Phamsa Fuala support There is Macaulay
36	36	36	Adhikam hype venda	negative	അധീകമ ഹൈപ്പ് വേന്ദ്	Adhikama The hype Wend
37	37	37	Ithu kidukkum	positive	ഇതു കിടുക്കുമ	This I will get it
38	38	38	Padam 1 st day kaanum athu urappu.	positive	പദമ 1 സ്റ്റ് ദയ കാനുംമ അതു ഉറാപ്പു	Padma 1 St mercy Kanuma that Urapu
39	39	39	masss effect	positive	മാസ ഇഫക്ട്	month effect
40	40	40	Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power	positive	അരുദേയമ കനീര ഓപ്പന വന്നാധല്ലാ നജന  പക്ഷേ കാരയീകുന്നവരുദേ ഠാലാ നജന ആദിച്ചു പ്വോലീക്കുംമ ഫുഅല ഓം ഫുഅല പവര്	Arudayama Kanira the opening It didn&#39;t come Najana But Those who care Tala Najana Aadi Pvolikumma Fuala Omg Fuala Power
41	41	41	Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	positive	അഗൈന അഗൈന രാജുവേത്തന ഥീര്ഥാ ഈം വിസ്മയമ കനാന വാനേ നോക്കുനാവരുന്ദു	Again Again royalties Theertha Ahem Amazing Canaan Vane Let&#39;s look
