sentence	sentiment	lang_of_words
Missing thyview 😭 type review u did n't mention minus points , review is not that genuine 🙄	positive	['en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ']
Prati roju pandage 1 half emotional entertainer interval super 2 half ultimate entertainer climax emotional overall film was a perfect family entertainer	positive	['te', 'te', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
Bro make a video on what went wrong with 2020 thrillers	negative	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en']
1st comment expect a heart from uh . .	positive	['univ', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ']
@AditAadhf @VinayAlluarjun1 @iMonieka @alluarjun Rts ki 3times ekkuva vunnai cmts sigu lekundaa inkenni kavali ra neeku min 10k padathayile	negative	['univ', 'univ', 'univ', 'univ', 'en', 'ne', 'univ', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'univ', 'en']
Ilanti movie kada maaku kavalsindi Suriya anna nundi 🔥 🔥	positive	['te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ']
@OreyChinnoda @Iam_VinayPrince @MB_YSJ_cult Mabbu gaduu ra transgender andhuke sanjay dutt gaadu duty chestunnadu ☁ ️ ☁ ️ ☁ ️	negative	['univ', 'univ', 'univ', 'te', 'te', 'te', 'en', 'te', 'ne', 'en', 'te', 'en', 'te', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ']
venky mama Amazon lo radu sun nxt app lo vastundi	neutral	['ne', 'te', 'ne', 'te', 'te', 'en', 'en', 'en', 'te', 'te']
Prime video lo screenshots ela vastanai bro neku	neutral	['en', 'en', 'te', 'en', 'te', 'te', 'en', 'te']
@Kumarpk111dhfm @Telugu360 @ysjagan Antha Mandi chanipothe intha chillarga asala ala alochisthav bro ? Akkada patients doctors 1hr kanpichaledu ani chepthunnaru it 's clear there is no responsibility . May be nuvvu Jagan fan avatam valla Neeku nammataniki kastamga vundachu but this is ground reality .	negative	['univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'univ', 'te', 'en', 'en', 'univ', 'te', 'te', 'te', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'te', 'ne', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'en', 'univ']
