	uid	sentence	lang	sentiment
0	1	After this I 'm just gonna go home drink summ hot chocolate con bolillo and sleep	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'EN', 'EN']	positive
1	2	Eating a good as posole ha	['EN', 'EN', 'EN', 'EN', 'ES', 'NA']	positive
2	3	Dale mijo , no cop no stop	['ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'EN']	neutral
3	4	Damn I love listening to los cardenales de nuevo leon y el poder del norte at night	['EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN']	positive
4	5	I 'm pretty happy phone is finally recognizing the Spanish words I use with the swipe mode on jaja	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES']	positive
5	6	mmmmm never been to a bonfire ... I prefer carne asada jajaja	['NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'ES', 'ES', 'NA']	positive
6	7	Then again I just stood up and I might still be Lil tipsy jajaj	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES']	positive
7	8	Last night once we all finished eating our grapes we all took a shot of tequila lol	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN']	positive
8	9	jaja I know you 're not you 're one in a billion precious( = and your mom would call you callejera for shopping ? Lol that 's funy	['NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN']	positive
9	10	allright si no ya sabe las consequencias !! Eh haha	['EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES']	positive
10	11	mmm hasta de beso me saludo i wass like omg omg lol jk jk	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']	positive
11	12	Maury bien happy with his present que le regalo su Padrino Oscar ! #futuremusico	['NA', 'ES', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA', 'NA']	positive
12	13	Cuando Mis parents me dejan ir el date me Keda Mal / . - No MAMEN	['ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'NA', 'NA', 'NA', 'ES', 'ES']	negative
13	14	Gracias that means a lot :) & tbh luck has nothin 2 do w/ it , its all Love , Strength , & Dedication , Sin eso el ♥ no es nada !	['ES', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'NA', 'NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA']	positive
14	15	CAN I GET A AMEN !!!!!!! LIKE DAMNNN MF HALLELUJAH !!!! Ese Guache David se la rifo #Shocked #ItsReal #TeAplaudo #Keeper	['EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'NA', 'EN', 'NA', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'EN', 'EN', 'ES', 'EN']	positive
15	16	Misplace : Extraviar ( diferente a perder ) . I misplaced my keys ( no las perdiste , solo no sabes donde están	['EN', 'NA', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES']	neutral
16	17	Nor should he be ! Algo así como “ y no debería ” He 's not allowed to drink , nor should he be !	['EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA']	neutral
17	18	son a lot Pero Nomas 3 me Gustaron 😛 I Uno has a truck el Fue el que came scoop c ; haha they cool 💁 especially la Suegra (;	['ES', 'EN', 'EN', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'EN', 'ES', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA', 'EN', 'ES', 'ES', 'NA']	positive
18	19	lmao its funny cause primero andan hablando d uno y luego vienen a pedir favores & I 'm just like nah buscenle x otro lado !	['EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA']	negative
19	20	"Por ejemplo "" other than/aparte de "" en algunos casos tiene MUCHO más sentido que "" otro que "" saludos :)"	['ES', 'ES', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'ES', 'NA']	positive
20	21	I do n't want to be ( 18 ) but I think you are way ( 19 ) for this position ( 18 : Grosero ) ( 19 : Relajado/perezoso )	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA', 'NA', 'NA', 'ES', 'NA', 'NA', 'NA', 'NA', 'ES', 'NA']	negative
21	22	no pos wow , Fuhk the tmbim a Los heats	['ES', 'ES', 'EN', 'NA', 'EN', 'EN', 'ES', 'NA', 'ES', 'NA']	negative
22	23	He already knocked him down in the first no mamar	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES']	neutral
23	24	Si Kiero Homie ; b	['ES', 'ES', 'EN', 'NA', 'NA']	positive
24	25	Si , es hora punta , como en Colombia decimos hora pico , no me atreví a escribirlo , no quería escribir un coloq :) salds ty ! :)	['ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'NA', 'NA']	positive
25	26	Yo ! Where the fuck my mom at ? Traigo Hambre y Ella de callejera No ! No ! No ! No !!! Yo quiero Breakfast k se venga Home NOW !!! * Calling Her * ..	['EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'NA', 'NA']	negative
26	27	tas wacheando porn o.O ewww lol jj	['ES', 'NA', 'EN', 'NA', 'EN', 'EN', 'EN']	positive
27	28	it 's lagging in me too #valiendoverg , hahaha ni te creo xD , this semester gunna fast btw so the work will pile up	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']	positive
28	29	Bitter-Sweet : Dulce y amargo ( agridulce ) . It was a bitter-sweet moment when my daughter moved out for college .	['EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'NA', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA']	neutral
29	30	I just came back from the gym and I 'm tired as shit 😩 , ima shower eat some enfrijoladas y a dormir lol	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES', 'NA', 'ES', 'EN']	neutral
