	Unnamed: 0	sentence	sentiment	transliteration	translation
0	0	Trailer late ah parthavanga like podunga	positive	ட்ரைலேர் லேத்த் அ பார்தாவங்கா லைக் போதுங்கா	Trailer Lathe A Parthavanga Like Pathanga
1	1	Move pathutu vanthu trailer pakurvnga yaru	positive	மோவ் பதுதும் வநது ட்ரைலேர் பகுர்வ்ங்கா யாரு	Mov Badhutum Vanadu Trailer Bhagurvnga Yaru
2	2	Puthupetai dhanush  ah yarellam pathinga	positive	புதுபேட்ய் தநுஷ  அ யாரேள்ளம் பதிங்கா	Budupedi Danusha Yarellam Pathinga
3	3	Dhanush oda character ,puthu sa erukay , mass ta	positive	தநுஷ ஓடா சராக்டர் புது ஸா ஏருகாய  மாஸ் தா	Danusha Oda Character Pudu Sa Erugaya Mas Tha
4	4	vera level ippa pesungada mokka nu thalaivaaaaaa	positive	வேரா லேவேல இப்பா பெஸுங்காதா மோக்கா நு தலைவா	Vera levela ippa bezungata mocha nu thaliva
5	5	Thala mass . U1 bgm.     Vera level	positive	தாலா மாஸ்  உ1 பம்     வேரா லேவேல	Tala mas u1 bum vera levela
6	6	ivara pathta death vadi madiri irukku	negative	இவாரா பத்தா டீத் வாதி மதிரி இருக்கு	Ivara Patta Teeth Vadi Madiri is there
7	7	0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru	positive	028 90ஸ் கிட்ஸ் ரெபெரென்ஸ்  மாதிலா இருநது குதிசா ஷக்தீமன் காபத்வாரு	028 90s Kids Reference Mathila Irunadu Kutisa Shaktiman Kapadwaru
8	8	Aiyoo thala mass pannita thala	positive	ஐயூ தாலா மாஸ் பந்நீதா தாலா	IU Thala Mas Panneeta Thala
9	9	ENPT ku kaathu kadanthathellam oru nimishathula poiruchu	neutral	ஏநப்த கு காதும் கதம்ததேள்ளம் ஓரு நிமிஷாதுலா பாயிருச்சு	Enaptha ku kathum kathamdatelam was born for a minute
10	10	When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN	negative	வென் பாண்டே கெட்ஸ் உப  வம்துமுருகந  இம் ஸ்பெகிங் நோ க்ராஸ் ஸ்பெகிங் சித்த் டவன்	When pandey gets upa vamdumurugana im speking no cross speking chit davan
11	11	Remake of Malayalam Mohanlal movie Devadoodhan	negative	ரேமாம்க் ஆப் மலையாளம் மோஹன்லால மோவி தேவாதூதந	Remamk of Malayalam Mohanlal Movie Devaduthana
12	12	Tharamaana sirappaana sambavam inimeal ta paaka pora....	positive	தாரமாநா ஸிரப்பாநா ஸம்பவம இநீமீல தா பாகா போரா	Taramana sirappana sambavama inemeela tha baga bora
13	13	Maran  kattu kattitamnue verithanam thalivaaàa	positive	மரண  கட்டு கத்திதாம்னூ வேரீதநாம் தாலீவாàஆ	Death bandage kathitahamnu vereedanam thalivaàa
14	14	Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa	positive	எல்லா ட்ரைலேர் லா லாஸ்ட் லா ஓரு மாஸ் டியாலூஜ் வைசிகுரிங்கா பா	Ella trailer la last la oru mas dialuge wysiguringa pa
15	15	Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....	positive	இப்பா ஸாமி தாலா பதாதுலா வேரா டிரெக்டர் பெராபகுராதும் ஏவாலோ பெரியா ஸம்தோஸமா இருகு	Ibba Sami Thala Badatula Vera Drektor Perabhakuratum Evelo Periya Samdosama Iruku
16	16	En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa	neutral	ஏந தலைவன் விஜய்ஸேதுபாதீ காகா மாடும் நா பதம் பாபாந மதா ஏநதா ப் இல்லா	Ena Thalivan Vijaysetupadi kaka matum na padam babaana mada enatha p illa
17	17	Kanithan + mugamoodi Neenga nambalainalum ithan nesam	positive	கநீதந  முகாமூதி நீம்கா நம்பலைனாலம் ஈதந நேஸம்	Neemka Nambalainalam Ethanana Nesam by Ganeethana Mangamuti
